Order,Question,A,B,C,D,answer
46,The functioning of carbohydrate is to supply___ and help to___ up fat., power  build,  energy and break  ,. build and energy,energy and build.,D
47,Feeds that supply energy to the body of an animal is termed___,. Energy- releasing food, Energy- yielding feeds ,. Energy- boosting feeds,Energy- reducing feeds,C
48,Structure made of wood or wire netting for rearing rabbit is,Paddock,Hutch,Cages,Fish pond,B
49,Which of the following is not a feeding equipment for farm animals?,Battery cage,Creep feeders,Feeding trough,Hay rack,A
50,Which of the following is an example of succulent feed?,Bone meal,Fish meal,Silage,Straw,C
51,The act of encouraging farmers to sell farm produce to other countries is _____promotion,Bond,Cash,Export,Share,C
52,Mechanical method of weed control includes the following EXCEPT,destroying the weeds with herbicides  , pulling weeds with hand, cutting weeds with cutlass   ,using hoe in removing weeds,A
53,Feeds that supply energy to the body of an animal is termed___,. Energy- releasing food, Energy- yielding feeds ,. Energy- boosting feeds,Energy- reducing feeds,C
54,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
55,Which of the following is a piercing and sucking insect?,Grasshopper,Butterfly,Termite,Bettle,B
56,A vertical cross-section of soil from the top soil down to the bedrock is called soil _____,Structure,Horizon,Profile,Texture,C
57,The following are mechanical weed control EXCEPT,Crop rotation,Cutting,Hand pulling,Hoeing,A
58,Which of the following is NOT a pest of farmland,  	 Caterpillar, Earthworm,Squirrel,Termite,B
59,___ refers to the total supply of feed given to an animal per day,Ratio,Rator,Ration,Rally,C
60,The most effective method for controlling weed is,Cutting,Use of chemical,Hand pulling,Burning,B
61,Disease – causing organisms in animal husbandry  are transmitted through the following means except.,Air,Water,Feed ,Insect vector,F
62,Plants with one seed leaf are called ________,Monocot,Dicot,Tricot,Quacot,A
63,Feeds that supply energy to the body of an animal is termed___,. Energy- releasing food, Energy- yielding feeds ,. Energy- boosting feeds,Energy- reducing feeds,C
64,Animal that chew their cud are called ..........animal,Non-ruminant,Ruminant,Complex animal,Arabian animals,B
65,Cereals are good sources of __________,Carbohydrates,Fat and oil,Mineral ,Vitamin,A
66,Which of the following branches of agriculture will a farmer who is interested in Ornamental plants engage in?,Agronomy,Extension,Forestry,Horticulture,D
67,Feeds that supply energy to the body of an animal is termed___,. Energy- releasing food, Energy- yielding feeds ,. Energy- boosting feeds,Energy- reducing feeds,C
68,upermarket is an example of ______ market,Commodity,Consumer,Industrial,International,B
69,Crops that grow and germinate within a year are ______ crops,Perennial,Annual,Biennial,,B
70,Feeds that supply energy to the body of an animal is termed___,. Energy- releasing food, Energy- yielding feeds ,. Energy- boosting feeds,Energy- reducing feeds,C
71,Which of the following crops cannot be processed by winnowing,Bambara nut,Cowpea,Maize,Sorghum,F
72,Onion is propagated by,Bulb,Com,Rhizome,Sucker,A
73,Disease causing organisms are referred to as____,Pathogene,Pathogenic,Pathogenn,Paraforce,B
74,Agriculture provides the following except,Food,Shelter,Grass,Employment,C
75,Which of the following is a raw material for a textile industry,Cocoa,Cotton,Millet,Rubber,B
76,___ refers to the total supply of feed given to an animal per day,Ratio,Rator,Ration,Rally,C
77,Mechanical method of weed control includes the following EXCEPT,destroying the weeds with herbicides  , pulling weeds with hand, cutting weeds with cutlass   ,using hoe in removing weeds,A
78,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
79,Which of the following is an example of burrowing insect?,Cricket,Grasshopper,Weevil,Locust,B
80,In biological control of weeds______ are used in controlling weeds,Living organisms,Machines,Herbicides,Burning,A
81,The major disadvantage of using biological method of weed control is that the animals,compete with the crops for nutrient  ,may damage cultivated crops  , increase soil nutrient  ,plant crops,B
82,Cocoa bean is a raw material for the production of _____,Chocolate,Soap,Cooking oil,Plastic,A
83,A plant that grows where it is not wanted is referred to as a _________,Crop,Fodder,Forage,Weed,D
84,Structure made of wood or wire netting for rearing rabbit is,Paddock,Hutch,Cages,Fish pond,B
85,In biological control of weeds______ are used in controlling weeds,Living organisms,Machines,Herbicides,Burning,A
86,Cereals are good sources of __________,Carbohydrates,Fat and oil,Mineral ,Vitamin,A
87,Trypanosome parasite can be transmitted by,Housefly,Tsetse fly,Roundworm,Mite,B
88,Which of the following material is used in propagating plantain,Sucker,Bulb,Stem,Rhizome,A
89,Which of the following material is used in propagating plantain,Sucker,Bulb,Stem,Rhizome,A
90,…......... is a product of a dairy animal,Milk,Meat,Fish,Gold,B
91,The act of encouraging farmers to sell farm produce to other countries is _____promotion,Bond,Cash,Export,Share,C
92,A plant that grows where it is not wanted is referred to as a _________,Crop,Fodder,Forage,Weed,D
93,....... Plant is propagated by stem,Maize,Plantain,Cassava,Yam,C
94,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
95,Which of the following is NOT a storage facility for grains?,Crib,Pit,Sack,Silo,B
96,Cocoa bean is a raw material for the production of _____,Chocolate,Soap,Cooking oil,Plastic,A
97,Weed are useful in the following ways EXCEPT,compete with crop for nutrient   , conservation of water ,control soil erosion,,A
98,The major disadvantage of using biological method of weed control is that the animals,compete with the crops for nutrient  ,may damage cultivated crops  , increase soil nutrient  ,plant crops,B
99,Trypanosome parasite can be transmitted by,Housefly,Tsetse fly,Roundworm,Mite,B
100,upermarket is an example of ______ market,Commodity,Consumer,Industrial,International,B
