Order,Question,A,B,C,D,answer
30,In plants  the structure that performs  a similar  function with the testis is in mammals  is the   ,stigma,filament  ,anther,replace,C
31,The stunted group of a leguminous plant suffering from nitrogen deficiency may be corrected by inoculating the soil with,denitrifying bacteria  ,saprophytic bacteria,Rhizobium   ,nitrosomonas,C
32,In which of the following Nigerian states can montane vegetation be found?,Plateau,Taraba  ,Enugu  ,Bauchi,A
33,Which of the following biomass could be characterized by very low rainfall  cold nights  hardays and fast blooming plants?  ,Northern Guinea savanna,southern Guinea savanna  ,Tropical desert, montane forest,B
34,Throxne and adrenalin are examples of hormones which control,blood grouping,tongue rolling  ,behavioural patterns,colour variation ,C
35,The part of the alimentary system of a bird where food is  ground into small particles is the,cloaca  ,stomach  ,crop  ,gizzard,D
36,The ability of a chameleon to change its colour is an adaptive feature for  ,attraction,defence  ,display,attack     ,B
37,The function of the fluid filled pericardium is to,reduce the friction caused by the pumping movements of the heart   ,supply the heart with oxygen and nutrients  ,prevent disease organisms from attacking the heart  ,reduce the  intensity of the pumping action of the heart,A
38,Radial symmetry is a feature common to the  ,platyhelminthes,nematodes  ,coelentrates,arthropods,C
39,The  soil type that contains nutrients which are not readily available for plants is , sandy  ,Alluvial  ,loamy  ,clayey  ,D
40,A water medium is necessary for fertilization in,angisperms,ferns  ,fungi  ,conifers,B
41,An organism which exhibits extracelluar digestion is  ,Paramecium,Rhizopus  ,Spirogyra  ,Amoeba  ,B
42,A dilute solution of phenylthiocarbamide tastes bitter to some people  and is tasteless to others. This is an example of  ,taste bud variation,discontinuous variation   ,morphological variation, continuous variation,B
43,The optimum temperature  for the growth of the organism is,25oC,50oC,75oC   ,100oC,B
44,The mammalian lung is made air light by the,pleural cavity  ,mucous membrane,pleural membrane  ,diaphragm,A
45,The organ situated in the pericardial cavity of a mammal is the,stomach  ,Liver  ,Liver,spleen,C
46,The formation of water in tissue  respiration  results from the  ,combination of water  molecules,breakdown of water molecules  ,reduction of carbon (IV) oxide,reduction of oxygen by hydrogen,D
47,The correct base pairing for DNA is,adenine _ thymine and guanine_ cytosine  ,adenine_ guanine and thymine_ cytosine  ,adenine_ cytosine and guanine_ thymine  ,adenine_ adenine  and cytosine_cytosine,A
48,The order of passage of food in the digestive system is,ileum caecum large intestine rectum,ileum colon caecum rectum,large intestine ileum caecum rectum,colon caeum ileum rectum  ,B
49,The part of the alimentary system of a bird where food is  ground into small particles is the,cloaca  ,stomach  ,crop  ,gizzard,D
50,The vector for yellow fever is  ,edges mosquito  ,anopheles mosquito  ,tsetse fly  ,blackly,A
51,The dominant phase in the life cycle of a fern is the,gametophyte  , prothallus,sporophyte  , antheridium,C
52,In plants  the structure that performs  a similar  function with the testis is in mammals  is the   ,stigma,filament  ,anther,replace,C
53,Which of the following is the lowest category of  classification?  ,Class   ,species  ,Family,Genus,B
54,The causative agent of bird flu is a,virus  ,bacterium  ,fungus  ,protozoan   ,A
55,A water medium is necessary for fertilization in,angisperms,ferns  ,fungi  ,conifers,B
56,The basking of Agama lizards in the sun is to,chance the colour of their body  ,raise their body temperature to become active,fight to defend their territories,attract the female for courtship,B
57,The transition from amphibians to mammals involves the limbs becoming arranged to support the weight  more effectively requiring modifications in the,collar bones and coccyx,pectoral and pelvic girdles,scapulae and clavicles   ,vertebrae and sternum,B
58,The association in which one member benefits and the other is relatively unaffected by the interaction is termed  ,symbiosis,parasitism,commensalism  ,Mutualism,C
59,Which of the following requires the use of carbon dating to prove that evolution has occurred?  ,comparative anatomy  ,biochemical similarities   ,molecular records,fossil records,D
60,The part of the alimentary system of a bird where food is  ground into small particles is the,cloaca  ,stomach  ,crop  ,gizzard,D
61,Rodents gnaw on food with their,molar teeth  ,strong jaws   ,flat-ridged teeth  ,chisel like front teeth,D
62,The basking of Agama lizards in the sun is to,chance the colour of their body  ,raise their body temperature to become active,fight to defend their territories,attract the female for courtship,B
63,A caterpillar and an aphid living in different parts of the same plant can be said to, occupy the same ecological riches   , Be in different habitats  ,occupy different ecological riches  ,be in  similar micro habitats,C
64,The mammalian lung is made air light by the,pleural cavity  ,mucous membrane,pleural membrane  ,diaphragm,A
65,The mammalian lung is made air light by the,pleural cavity  ,mucous membrane,pleural membrane  ,diaphragm,A
66,I. Adoption of appropriate nocturnal habits   II. Burrowing   III. adjusting their  internal body temperature   IV. Possession of many sweat pores.
Which of the above are ways in which desert animals adapt to extreme heat of environment?  
,I and IV only  ,II and III only  ,I and II only  ,I  II and III only,D
67,The basking of Agama lizards in the sun is to,chance the colour of their body  ,raise their body temperature to become active,fight to defend their territories,attract the female for courtship,B
68,The order of passage of food in the digestive system is,ileum caecum large intestine rectum,ileum colon caecum rectum,large intestine ileum caecum rectum,colon caeum ileum rectum  ,B
69,Which of the following groups of cells is devoid of true nuclei?,viruses,algae  ,Monera,Fungi,C
70,The best method of propagating sugarcane by,seed sowing  ,layering,grafting  ,stem cuttings,D
71,An indigenous method of renewing and maintaining  soil fertility is by,clearing farms a by burning,planting one crop type  ,adding inorganic fertilizers yearly   ,crop rotation and shifting cultivation,D
72,Habitats are generally classified into  ,aquatic and terrestrial,arboreal  and marine biomes,microhabitats and macro habitats,biotic and abiotic,A
73,Radial symmetry is a feature common to the  ,platyhelminthes,nematodes  ,coelentrates,arthropods,C
74,The best method of propagating sugarcane by,seed sowing  ,layering,grafting  ,stem cuttings,D
75,The formation of water in tissue  respiration  results from the  ,combination of water  molecules,breakdown of water molecules  ,reduction of carbon (IV) oxide,reduction of oxygen by hydrogen,D
76,The specialized pigment cells that are involved in colouration and colour change in animals are the,xanthophyl,chromatophores,chlorophyll,mechanic,D
77,Mass of a crucible = 10g
 Mass of a crucible and soil before heating = -29g.
Mass of a crucible and sol after heating = 18g. From the information above  determine the percentage of wter in the given soil sample?  
,20%,25%,40%,50%,D
78,A plant like feature I Euglena is the,Pellicle  ,pigment sport,large vacuole   ,gullet,B
79,The loss of soil through erosion can be reduced by,watering,crop rotation  ,maturing  ,irrigation,B
80,The hyphal wall of fungi is rigid  owing to the presence of,cell wall,lignin  ,cellulose  ,chitia,D
81,The optimum temperature  for the growth of the organism is,25oC,50oC,75oC   ,100oC,B
82,An evidence of the relationship between living organisms and their extinct relatives can best be obtained from,Embryology  ,Comparative anatomy  ,comparative physiology,all of the above,D
83,An evidence of the relationship between living organisms and their extinct relatives can best be obtained from,Embryology  ,Comparative anatomy  ,comparative physiology,all of the above,D
84,Chewing the cud is an adaptation peculiar to,herbivores,omnivores  ,rodents   ,ruminants,D
85,Which of the following factors can bring about competition in a population? , Drought   ,Mortality,Dispersion   ,Emigration,D
86,Mammals are  capable  of producing hypertonic urine mainly because of re-absorption in the  ,urethra  ,loop of henle  ,ureater  ,Bowman’s capsule,B
87,Which of the following is likely to have a higher concentration of mitochondria? , Sperm cell, white blood cell  , Egg cell,red blood cell,A
88,Which of the following groups of cells is devoid of true nuclei?,viruses,algae  ,Monera,Fungi,C
89,The organ situated in the pericardial cavity of a mammal is the,stomach  ,Liver  ,Liver,spleen,C
90,If both parents are heterozygous for trait  he probability that an offspring will be recessive for that trait is,¾   ,½    ,¼,1,C
91,The formation of water in tissue  respiration  results from the  ,combination of water  molecules,breakdown of water molecules  ,reduction of carbon (IV) oxide,reduction of oxygen by hydrogen,D
92,In lizards  the lowering  of the gular fold is used to,attract mates  ,frighten enemies,catch insects   ,defend their territory,B
93,The correct base pairing for DNA is,adenine _ thymine and guanine_ cytosine  ,adenine_ guanine and thymine_ cytosine  ,adenine_ cytosine and guanine_ thymine  ,adenine_ adenine  and cytosine_cytosine,A
94,A yellow maize is planted and all the fruits obtained are of yellow seeds. When they are cross bred  yellow seeds and white seeds are obtained in a ratio 3:1. The yellow seed is said to be  ,non heritable,sex linked,a recessive trait  ,a dominant trait,D
95,Radial symmetry is a feature common to the  ,platyhelminthes,nematodes  ,coelentrates,arthropods,C
96,The feature  that links birds to reptiles in evolution is the possession of  ,feathers  ,beak  ,skeleton,scales,D
97,Climax communities in a biotic succession are usually characterized by,a constant change in the appearance of the commodities  ,a stable composition of plant and animal species  ,rapid changes in the plant and animal species  ,different species that are constantly changing,B
98,The similarly  among organisms belonging to the same group will be least within each,family  ,order  ,kingdom   ,species,C
99,During ovulation  an egg is released from the,corpus luteum  ,ovarian funnel  ,Graafian follicle,fallopian tube,C
100,The axial  skeleton is found in the,skull   ribs  vertebral column and breast bone   ,skull humerus  vertebral column and ribs  , breastbone  clavicle  rids and vertebral column, femur  sternum  ulnae and skull,A
