Order,Question,A,B,C,D,answer
20,Choose the correct form of adjectives in the brackets for each sentence.      Diamonds are ______________  than gold.,precious,more precious,most precious,,B
21,(Choose the option that does not have the same sound as the one represented by the symbol.)      /k/,Climb,Kick,Chorus,Decide,D
22,Complete each of the following questions with the most appropriate option from the list lettered A-D.         Share the books --------- the two students.,among,between,across,within,A
23,Choose the option that does not have the same sound as the one represented by the symbol(s).      /f/,Fan,Physics,Psychic,Pharmacy,C
24,(Choose the option that does not have the same sound as the one represented by the symbol.)      /p/,Phone,Paper,Pin,Pear,A
25,Complete each of the following questions with the most appropriate option from the list lettered A-D.         The lady about --------- I spoke to you last week is here now.,which,who,whom,who’s,C
26,(Choose from the lettered A- D  the word that best completes this sentence.)      I had to wait ------------ longer before I could see my doctor.,little,a lot  ,a little,a few ,C
27,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /eə/,chair,cheer,here,hate,A
28,From the options lettered A-D  choose the option that completes this sentence.      Dawodu is an --------- at Pan African Bank,cleaner,manager ,accountant ,cashier,C
29,(Choose the option that does not have the same sound as the one represented by the symbol.)      /f/,Fan,Physics ,Psychic,Pharmacy,C
30,(Choose from the lettered A- D  the word that best completes this sentence.)      I had to wait ------------ longer before I could see my doctor.,little,a lot  ,a little,a few ,C
31,(Choose from the lettered A- D  the word that best completes this sentence.)      My clothes ---------- because I had to walk in the rain to the house.,will be wet,are wet,had been wet,was wet,B
32,(From the options lettered A-D  choose the option that completes this sentence.)      Each of the boys -------- a book and a pencil.,are having,has,have,is having,B
33,(Choose the option that does not have the same sound as the one represented by the symbol.)      /f/,Fan,Physics ,Psychic,Pharmacy,C
34,Choose the option that does not have the same sound as the one represented by the symbol(s).      /f/,Fan,Physics,Psychic,Pharmacy,C
35,Complete each of the following questions with the most appropriate option from the list lettered A-D.         He bought the sandals --------- the rate of one hundred a pair.,at,for,by,with,A
36,(From the options lettered A-D  choose the option that completes this sentence.)         Dawodu is an --------- at Pan African Bank,manager,cashier,cleaner,accountant ,D
37,(Choose the option that does not have the same sound as the one represented by the symbol.)      /p/,Phone,Paper,Pin,Pear,A
38,(From the list of words lettered A-D  choose the word that is NEARLY OPPOSITE  in meaning to the capitalized word in this sentence.)      Sometimes   a journalist is REBUKED for being too inquisitive.,condemned ,praised,castigated,reproached,B
39,Complete each of the following questions with the most appropriate option from the list lettered A-D.         John did not take part ---------- the parade.,at,in,on,for,B
40,(Choose from the lettered A- D  the word that best completes this sentence.)      We were at his mercy -------- the party lasted.,for,since,when,while,D
41,The writer of prose is called a _____,novelist,player,writer,playwright,A
42,(From the options lettered A-D  choose the option that completes this sentence.)         She --------- regularly.,eat,ate,eaten,eats,D
43,(Complete this question with the most appropriate of the options  lettered A- D.)      The graduating students ---------- presented with gifts.,have being  ,were,is,was,B
44,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /ai/,biometric,cart,divorce,hawk,A
45,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /r/,war,wring,board,tarp,B
46,Choose the option that does not have the same sound as the one represented by the symbol(s).   	   /k/,Climb,Kick,Chorus,Decide ,D
47,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /eə/,chair,cheer,here,hate,A
48,(Choose from the lettered A- D  the word that best completes this sentence.)      We were at his mercy -------- the party lasted.,for,since,when,while,D
49,Choose the correct form of adjectives in the brackets for each sentence.      My pen is as ________________   as yours.,good,better,best,,A
50,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /ai/,biometric,cart,divorce,hawk,A
51,(Complete this question with the most appropriate of the options  lettered A- D.)      Agbo and Jibrin love----------- so much.,one another,one and the other,Each other,theirselves,C
52,From the options lettered A-D  choose the option that completes this sentence.         There was so --------- traffic that we got home late.,many,more,much,most,C
53,Complete each of the following questions with the most appropriate option from the list lettered A-D.         My father has promised ---------- me a bicycle after my JSCE.,given,giving,of giving,to be giving,B
54,Complete each of the following questions with the most appropriate option from the list lettered A-D.         John did not take part ---------- the parade.,at,in,on,for,B
55,(From the options lettered A-D  choose the option that completes this sentence.)      The earth --------- spherical in shape.,are,will be,was,is,D
56,Choose the option that has the same sound as the one represented by the symbol(s).      /au/,Kite,South,Soil,Mind ,B
57,Choose the option that has the same sound as the one represented by the symbol(s).      /e/,Hair,Head,Chair,Girl,B
58,Choose the correct form of adjectives in the brackets for each sentence.      Yemi is the ____________  girl in the class.,tall,taller,tallest,,C
59,(Complete this question with the most appropriate of the options  lettered A- D.)      She is kind ---------- her brother is cruel.,but,even,when,which,A
60,Choose the option that has the same sound as the one represented by the symbol(s).      /au/,Kite,South,Soil,Mind ,B
61,(Complete this question with the most appropriate of the options  lettered A- D.)      Pick out the word that is correctly spelt,Mathematic,Matimatics,Mathematics,Mathematik,C
62,(Choose from the lettered A- D  the word that best completes this sentence.)      We were at his mercy -------- the party lasted.,for,since,when,while,D
63,Choose the option that does not have the same sound as the one represented by the symbol(s).   	   /tʃ/,Kitchen,Rich,Picture,She,D
64,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /ͻi/,boil,height,house,rod,A
65,(Choose the option that does not have the same sound as the one represented by the symbol.)      /p/,Phone,Paper,Pin,Pear,A
66,(Choose from the lettered A- D  the word that best completes this sentence.)      My clothes ---------- because I had to walk in the rain to the house.,will be wet,are wet,had been wet,was wet,B
67,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /uə/,pool,prove,sure,door,C
68,(Complete this question with the most appropriate of the options  lettered A- D.)      The children almost died of ___________,taste,thirst ,thirsty,test ,B
69,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /eə/,chair,cheer,here,hate,C
70,Choose the correct form of adjectives in the brackets for each sentence.      Who is  ___________   Segun or Boma?,clever,cleverer,cleverest,,B
71,(Choose the option that does not have the same sound as the one represented by the symbol.)      /g/,Good,Ghost,Badge,Drag,C
72,Choose the option that has the same sound as the one represented by the symbol(s).      /a:/,Cat,Heart ,Ball,Slap,F
73,Choose from the options lettered A-D the one that contains the given phonetic symbol.          /tʃ /,ocean,soup,site,choice,D
74,(Choose the option that does not have the same sound as the one represented by the symbol.)      /g/,Good,Ghost,Badge,Drag,C
75,(From the list of words lettered A-D  choose the word that is MOST NEAREST in meaning to the capitalized word in this sentence.)      He broke his VOW.,sword,habit,deed,promise,D
76,(From the options lettered A-D  choose the option that completes this sentence.)      Each of the boys -------- a book and a pencil.,are having,has,have,is having,B
77,Choose the correct form of adjectives in the brackets for each sentence.      Diamonds are ______________  than gold.,precious,more precious,most precious,,B
78,Choose the correct form of adjectives in the brackets for each sentence.      Olumba is the _____________  man in this village.,strong,stronger,strongest,,C
79,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /tʃ/,lecture,tuition,team,seal,A
80,(From the list of words lettered A-D  choose the word that is NEARLY OPPOSITE  in meaning to the capitalized word in this sentence.)      I bought some ROTTEN eggs from the market yesterday.,new,stale,fresh,bad,C
81,From the options lettered A-D  choose the option that completes this sentence.         Each of the boys -------- a book and a pencil.,are having,has,have,is having,B
82,(Complete this question with the most appropriate of the options  lettered A- D.)      The man is --------- good that everybody in the village loves him.,such,very,so ,that ,C
83,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /ai/,biometric,cart,divorce,hawk,A
84,(From the list of words lettered A-D  choose the word that is MOST NEAREST in meaning to the capitalized word in this sentence.)      He broke his VOW.,sword,habit,deed,promise,D
85,(Complete this question with the most appropriate of the options  lettered A- D.)      Rita is the first child of her parents  so she is the,more eldest ,most eldest,oldest,eldest,D
86,Complete each of the following questions with the most appropriate option from the list lettered A-D.         John did not take part ---------- the parade.,at,in,on,for,B
87,(Choose from the lettered A- D  the word that best completes this sentence.)      My clothes ---------- because I had to walk in the rain to the house.,will be wet,are wet,had been wet,was wet,B
88,Choose from the options lettered A-D the one that contains the given phonetic symbol.         /ͻi/,boil,height,house,rod,A
89,Choose the option that has the same sound as the one represented by the symbol(s).      /ͻi /,House,Moisture,Tail,Goal,F
90,(Choose the option that has the same sound as the one represented by the symbol.)      /e/,Hair,Head,Chair,Girl,B
91,(Choose the option that has the same sound as the one represented by the symbol.)      /a:/,Cat,Heart,Ball,Slap,B
92,From the options lettered A-D  choose the option that completes this sentence.         There was so --------- traffic that we got home late.,many,more,much,most,C
93,(From the list of words lettered A-D  choose the word that is MOST NEAREST in meaning to the capitalized word in this sentence.)      Investigations REVEALED that he actually committed the crime.,reported,showed,informed,announced,B
94,(Complete this question with the most appropriate of the options  lettered A- D.)      You can sit down -------- I stand up.,before,while,but ,but,B
95,(Complete this question with the most appropriate of the options  lettered A- D.)      Agbo and Jibrin love----------- so much.,one another,one and the other,Each other,theirselves,C
96,From the options lettered A-D  choose the option that completes this sentence.      She --------- regularly.,eat,eats,ate ,eaten,B
97,Choose the option that has the same sound as the one represented by the symbol(s).      /ͻi /,House,Moisture,Tail,Goal,F
98,(Choose from the lettered A- D  the word that best completes this sentence.)      We were at his mercy -------- the party lasted.,for,since,when,while,D
99,(From the options lettered A-D  choose the option that completes this sentence.)      Each of the boys -------- a book and a pencil.,are having,has,have,is having,B
100,(Choose the option that does not have the same sound as the one represented by the symbol.)      /f/,Fan,Physics ,Psychic,Pharmacy,C
