Order,Question,A,B,C,D,answer
34,The rhythmic movement of the human body in space and time to make statements is called,Climbing ,Dancing    ,Relaxing ,Singing,F
35,Which of these lower stress and depression,Recreation and dance   ,Footballing     ,Boxing,Fighting,A
36,The game of tennis is commenced with a ____,Toss,Whistle,Shouting,None of the above,A
37,Dislocation usually occurs in which part of the body?,Joints,Muscles,Brain,Abdomen,A
38,One of these is not in the categories of accident,domestic accidents   ,occupational accidents   ,school accidents   ,fence accidents,D
39,What is the full meaning of FIFA?,Federation of international football Association   ,Federation of international footwear Association   ,Footwear of international federation Association   ,None of the above,F
40,Examples of non-contact are all EXCEPT___,table tennis           ,swimming ,gymnastic ,soccer,F
41,In the game of shot put, the playground or court should be ____,Free of potholes     ,Full of grasses    ,Full of trees     ,Presence of rocks and stones,F
42,Dislocation usually occurs in which part of the body?,Joints,Muscles,Brain,Abdomen,A
43,One of the benefits of recreation and dance are as follows except,Improves quality of life  ,Learn more through social interaction   ,Creates room for enjoyment   ,Fighting everyone,D
44,Another name for K-leg is known as____,knock leg,cross leg,X-leg,,A
45,Taekwondo game or sport was originated from which of these countries,Japan,Korea,Nigeria,USA,A
46,The following are safety precautions while performing exercises except,Start slowly and progress gradually,Wear appropriate clothing and shoe  ,Exercise vigorously immediately after eating   ,Stop exercising  immediately you start feeling pains, dizzy, irregular heartbeat,A
47,Which of these lower stress and depression,Recreation and dance   ,Footballing     ,Boxing,Fighting,A
48,All of these are example of water sports EXCEPT one,Yatching,golf,sailing,swimming,B
49,The following are the causes of human trafficking EXCEPT___,malnutrition   ,poverty  ,corruption     ,lack of employment,F
50,The treatment given to a victim of an accident, sudden injury is called,past aid treatment   ,first aid treatment,operation treatment   ,last aid treatment,B
51,The shortest line shown on the tennis court is called____,double sideline     ,single line   ,centre mark   ,service line,F
52,Which of these is regarded as pugilism or prize-fight game,Boxing,taewondo,Volleyball,swimming,A
53,The following are the effects of pollution except,eye irritation,cardio vascular disease,good health ,death,F
54,One of these is a cause of road accident,using sharp object   ,driving and making phone calls   ,none of the above,,F
55,In the game of shot put, the playground or court should be ____,Free of potholes     ,Full of grasses    ,Full of trees     ,Presence of rocks and stones,F
56,The following factors influences physical fitness EXCEPT___,age   ,duration of exercise      ,diet and nutrition   ,white hair,D
57,Which of these is not an example of indoor recreational activities,room decoration   ,sleeping,playing ludo  ,playing ludo,B
58,The Nigeria lawn tennis Association was formed in which year?,1950,1960,1955,1965,D
59,The following are officials in tennis EXCEPT one,high court judge   ,an umpire   ,two supporting lines men   ,time recorder,F
60,One of the benefits of recreation and dance are as follows except,Improves quality of life  ,Learn more through social interaction   ,Creates room for enjoyment   ,Fighting everyone,D
61,The red cross inscribed on the front of the first aid box is the symbol of___,road warders       ,medical society ,red cross society,police force,F
62,One of the benefits of recreation and dance are as follows except,Improves quality of life  ,Learn more through social interaction   ,Creates room for enjoyment   ,Fighting everyone,D
63,One of these is a cause of road accident,using sharp object   ,driving and making phone calls   ,none of the above,,F
64,_________ is any liquid or solid material which when eaten can nourish the body,Food         ,Water,Mineral,Solid Material,F
65,Camping, fishing, mountaineering are example of,Indoor recreational activities ,Outdoor recreational activities,None of the above     ,All of the above,B
66,The first aid material used to wash equipments and victims body parts is,gloves,bandages,methylated spirit ,,F
67,The following are safety precautions while performing exercises except,Start slowly and progress gradually,Wear appropriate clothing and shoe  ,Exercise vigorously immediately after eating   ,Stop exercising  immediately you start feeling pains, dizzy, irregular heartbeat,A
68,Puberty in boys is generalized by all of the following EXCEPT___,breast development   ,. muscular development   ,pubic hair,deepening voice,A
69,The Nigeria lawn tennis Association was formed in which year?,1950,1960,1955,1965,D
70,Inadequate or lack of intake of the protein class of food leads to___,Anaemia     ,Sickle Cell,marasmus,kwashiorkor,D
71,The method of abducting, kidnapping, physical force and false promises is known as___,human trafficking   ,goat trafficking   ,recreational trafficking     ,none of the above,F
72,Dance is regarded as the rhythmic movement of the___,leg,hand,body,head,D
73,Diseases that cannot be transmitted from one person to another is known as,communicable disease ,inherited disease,non-communicable disease,,C
74,Athletics is a game made up of ____ and ____ event,Biro and paper,Racket and gloves   ,Ball and socks   ,Tracks and field,D
75,Good and drinkable water must be all EXCEPT___,Odourless       ,Tasteless   ,Colourless,full of organisms,F
76,_______ is not an example of classes of food,fats and oil   ,protein,water,rice,F
77,Leisure means____,free time   ,Working time,Reading time,Marching time,D
78,Accidents that occur in workplaces are known as,. domestic accidents ,occupational accidents  ,road accidents,,F
79,The treatment given to a victim of an accident, sudden injury is called,past aid treatment   ,first aid treatment,operation treatment   ,last aid treatment,B
80,One of these is NOT allowed in Soccer game?,kicking your opponent     ,scoring goal     ,heading the ball ,trapping the ball,F
81,The following are various types of computer games EXCEPT___,Football game,Volleyball game,basketball ,wife battering game ,F
82,The rhythmic movement of the human body in space and time to make statements is called,Climbing ,Dancing    ,Relaxing ,Singing,F
83,Which of these equipment is used to strike the ball in table tennis,Bat,Racket,Boot,Googles,A
84,One of these is not an injury in sports,dislocation  ,fractures ,wound,mosquito bite,F
85,Postural defects would be gradually gotten rid off by_____,regular exercise   ,regular running   ,group exercise     ,,F
86,The following are the solutions to human trafficking EXCEPT____,arresting offenders   ,encouraging human trafficking,enacting laws against human trafficking   ,,B
87,All of these are example of methods of sewage disposal EXCEPT____,pit latrine        ,open dump      ,water closet system   ,none of the above,D
88,For a person to look good, and fit, the person must perform,Regular exercises,Study hard  ,Jump the fence   ,Make noise in class  ,F
89,Domestic accident is usually associated _____,At home,Road,School,Factories,A
90,Sport injury include the following EXCEPT,Bleeding,Obesity,Sprain,dislocation,B
91,All are good examples of non-contact sports EXCEPT one,Table tennis,tennis,swimming,basketball,D
92,In boxing, ___ is used to cover and protect the hands of a boxer,socks ,helmet,gloves,bandages,C
93,All EXCEPT one is NOT a common fault in tennis game,service fault    ,foot fault   ,a let   ,kicking,D
94,All of these are examples of indoor recreational activities except,Watching television,Playing football     ,Dancing    ,Playing game      ,F
95,For a person to look good, and fit, the person must perform,Regular exercises,Study hard  ,Jump the fence   ,Make noise in class  ,F
96,All of these are used for gymnastics EXCEPT___,vaulting horse          ,parallel bars   ,horizontal ladder   ,football,F
97,The following are types of non-communicable disease except,measles ,Cancer    ,Malaria,asthma,F
98,Postural defect could be gradually gotten rid off by___,regular exercise   ,gymnastics   ,group exercise   ,,F
99,All of these are found in the first aid box?,methylated spirit   ,hydrogen peroxide   ,plaster,head helmets,D
100,Drinking polluted water can cause water borne disease such as,cholera ,asthma ,obesity ,cancer ,F
