Order,Question,A,B,C,D,answer
65,Examples of terrestrial organisms include all of the following except,(a)Earthworm, (b)Rats, (c)Lobsters,d)Man .,C
66,Water environment is also _____,(a)Aquarium, (b)Aqua  habitat  ,c)Aquatic habitant , (d)Liquid habitat,A
67,The following are useful applications of friction except in, A. Belt drives, B.Brakes, C.Clutches,D.Slides,D
68,The earth has a great gravitational pull on objects because it,(a) has a great mass,(b) is spherical ,(c) is rotating ,(d) can move,A
69,The full meaning of SHOC is ____,   (a)Safehandling of chemicals  ,b)Sit handling of chemicals  ,     (c)Start handling of chemicals  ,(d)Stem handling of chemicals.,A
70,On air or tree environment is also known as _____,Airy habitat   ,      b)Arboral habitat ,      (c)Arboreal habitat   ,  d)Jumping habitat,C
71,Terrestrial habitat can further be divided into  ____,_____ and _____,a)Swamp, ocean and lagoon  ,      (b)Desert, swamp, and seas  ,c)Lakes, grassland and deserts   ,d)Deserts, grassland and rain forest,D
72,The scientist that proposed the principles of gravity is,(a) Moses,(b)  Isaac Newton ,(c)  Plato,(d) Aristotle,B
73,​-------------------------is a state of not experiencing gravitational force,A.Force,B.Push and pull, C.Power ,D. Weightlessness ,D
74,The following are ways of maintaining good health except,  A. avoid drinking alcohol. ,B. eating a balanced diet., C. maintaining personal hygiene. ,  D. smoking cigarettes.,D
75,The transition stage of development is ______,Baby – childhood – Adulthood   , b)Childhood- Body –Adolescent –Adulthood ,  (c)Baby –Adulthood – Childhood –Adolescent,d)Adulthood – Adolescent –Baby –Childhood.,A
76,One of the following is a permanent change in man ____,(a)Fatness,  b)Growth of grey hair in later adulthood   , c)Pimples ,d)Enlargement of stomach.,B
77,A/an __ experiences weightlessness.,(a)  astronaut in a space craft. ,(b)  doctor in a hospital.,(c) engineer in his workshop.,(d) pilot in a plane. ,A
78,The unit of force is,​A. Joules,B.newton ,​C. watts,​D. meters,A
79,Changes in male characteristics is accompanied by the following except  _____,     (a)Deep voice  ,   (b)Facial hair   ,c)Growth of the breast ,d)Ability to produce sperm.,C
80,Growth is defined as _____,    (a)Increase in body   ,     (b)Increase in field  ,     c)Increase in height, size and weight ,d)Increase in organ.,C
81,Examples of terrestrial organisms include all of the following except,(a)Earthworm, (b)Rats, (c)Lobsters,d)Man .,C
82,What type of energy does the sun give out?,A. solar energy,B.radiant energy ,C.kinetic energy ,D.potential energy ,A
83,The following form the inner solar system except,A. Mercury,B. Venus,​C. Saturn​,D. Mars,C
84,The force of attraction which makes an object fall to the ground if not supported is,A. earth’s movement.,​​​B. earth’s attraction ​,C. earth’s gravitational attraction.,D. attraction of the masses.,C
85,Which of the following is a natural source of energy?, A. Batteries , B.Coal, C.Electric generator,D.Kerosine ,B
86,Heat energy can be used for the following except,A. generate heat for steam engines               A. generate heat for steam engines                  A. generate heat for steam engines                     A. generate heat for steam engines ,B. generate heat for cooking ,C. prevention of germs on some consumable items ​,D.  vision in the dark,D
87,Which of these is not an example of contact force?, A. Frictional force , B.Magnetic force, C.Pull,D.Push ,B
88,The following forms part of the nine planets except,A. Neptune ,B. Venus,​C. Plato ,D. Jupiter,C
89,Force is a product of,​A. distance and height of an object,B. mass and acceleration of an object,​C. length and breadth of an object,​D. mass and distance of an object,B
90,The force of attraction which makes an object fall to the ground if not supported is,A. earth’s movement.,​​​B. earth’s attraction ​,C. earth’s gravitational attraction.,D. attraction of the masses.,C
91,Which form of energy can a body possess by virtue of its position?,A. heat energy ,B. light energy,C. kinetic energy,D. potential energy,D
92,The scientist that proposed the principles of gravity is,A. Moses.,​B. Isaac Newton​,C. Plato,D Aristotle,B
93,Water environment is also _____,(a)Aquarium, (b)Aqua  habitat  ,c)Aquatic habitant , (d)Liquid habitat,A
94,​-------------------------is a state of not experiencing gravitational force,A.Force,B.Push and pull, C.Power ,D. Weightlessness ,D
95,Toxic means _______,    (a)Poisonous,   (b)Sweety     ,   (c)Substance  ,  (d)Potent,A
96,The earth has a great gravitational pull on objects because it,A. has a great mass. ,B. is spherical.,C. is rotating.,D. can move.,A
97,Which of the following is not a way of preventing diseases?,A. Drinking clean water. ,B. Immunization,C. Sleeping in a decorated room.,D. Use of mosquito net.  ,C
98,The revolution of the earth around the sun causes,A. day and night. ,B. distribution of radiant heat.,C. eclipse,D. seasons,D
99,​A way of reducing friction in the moving parts of a machine is by applying,(a) bitumen ,(b) diesel,(c) grease,(d)kerosine ,C
100,​-------------------------is a state of not experiencing gravitational force,(a)  Force,(b)  push and pull,(c) power ,(d) weightlessness,D
