,question,options,answer,subject.name,category
891,The earth takes -------------to complete one revolution around its axis per day,"[""[\""A. 1 hour\"",\""B. 23 hours, 56 minutes, 41 seconds\"",\""C. 27 hours​\"",\""D. 20 hours, 5.3 minutes, 22 seconds​\""]""]",B. pipe-borne,Basic Science,JSS2
893,The earth takes -------------to complete one revolution around its axis per day,"[""[\""A. 1 hour\"",\""B. 23 hours, 56 minutes, 41 seconds\"",\""C. 27 hours​\"",\""D. 20 hours, 5.3 minutes, 22 seconds​\""]""]",B. pipe-borne,Basic Science,JSS1
929,The following form the inner solar system except,"[""[\""A. Mercury\"",\""B. Venus\"",\""​C. Saturn​\"",\""D. Mars\""]""]",​C. Saturn​,Basic Science,JSS1
930,The following form the inner solar system except,"[""[\""A. Mercury\"",\""B. Venus\"",\""​C. Saturn​\"",\""D. Mars\""]""]",​C. Saturn​,Basic Science,JSS2
937,The following forms part of the nine planets except,"[""[\""A. Neptune \"",\""B. Venus\"",\""​C. Plato \"",\""D. Jupiter\""]""]",​C. Saturn​,Basic Science,JSS2
939,The following forms part of the nine planets except,"[""[\""A. Neptune \"",\""B. Venus\"",\""​C. Plato \"",\""D. Jupiter\""]""]",​C. Saturn​,Basic Science,JSS1
948,The following are classes of food except,"[""[\""A. Carbohydrates  \"",\""B. fats and oil\"",\""​C. glucose \"",\""D. mineral salts\""]""]",​C. Saturn​,Basic Science,JSS1
950,The following are classes of food except,"[""[\""A. Carbohydrates  \"",\""B. fats and oil\"",\""​C. glucose \"",\""D. mineral salts\""]""]",​C. Saturn​,Basic Science,JSS2
955,The ability to do work is,"[""[\""A. tension   \"",\""B. weight \"",\""​C. newton \"",\""D. energy\""]""]",D. energy,Basic Science,JSS2
957,The ability to do work is,"[""[\""A. tension   \"",\""B. weight \"",\""​C. newton \"",\""D. energy\""]""]",D. energy,Basic Science,JSS1
968,One of these is a source of energy,"[""[\""A. work\"",\""B. effort\"",\""​C. natural gas \"",\""D. energy\""]""]",​C. natural gas,Basic Science,JSS1
969,One of these is a source of energy,"[""[\""A. work\"",\""B. effort\"",\""​C. natural gas \"",\""D. energy\""]""]",​C. natural gas,Basic Science,JSS2
982,Which form of energy can a body possess by virtue of its position?,"[""[\""A. heat energy \"",\""B. light energy\"",\""C. kinetic energy\"",\""D. potential energy\""]""]",​C. natural gas,Basic Science,JSS2
984,Which form of energy can a body possess by virtue of its position?,"[""[\""A. heat energy \"",\""B. light energy\"",\""C. kinetic energy\"",\""D. potential energy\""]""]",​C. natural gas,Basic Science,JSS1
997,The energy a body possess by the virtue of its motion is,"[""[\""A. heat energy\"",\""B. light energy\"",\""C. kinetic energy\"",\""D. potential energy\""]""]",​C. natural gas,Basic Science,JSS1
998,The energy a body possess by the virtue of its motion is,"[""[\""A. heat energy\"",\""B. light energy\"",\""C. kinetic energy\"",\""D. potential energy\""]""]",​C. natural gas,Basic Science,JSS2
1012,Heat energy can be used for the following except,"[""[\""A. generate heat for steam engines               A. generate heat for steam engines                  A. generate heat for steam engines                     A. generate heat for steam engines \"",\""B. generate heat for cooking \"",\""C. prevention of germs on some consumable items ​\"",\""D.  vision in the dark\""]""]",D.  vision in the dark,Basic Science,JSS2
1013,Heat energy can be used for the following except,"[""[\""A. generate heat for steam engines               A. generate heat for steam engines                  A. generate heat for steam engines                     A. generate heat for steam engines \"",\""B. generate heat for cooking \"",\""C. prevention of germs on some consumable items ​\"",\""D.  vision in the dark\""]""]",D.  vision in the dark,Basic Science,JSS1
1035,What type of energy does the sun give out?,"[""[\""A. solar energy\"",\""B.radiant energy \"",\""C.kinetic energy \"",\""D.potential energy \""]""]",A. solar energy,Basic Science,JSS1
1037,What type of energy does the sun give out?,"[""[\""A. solar energy\"",\""B.radiant energy \"",\""C.kinetic energy \"",\""D.potential energy \""]""]",A. solar energy,Basic Science,JSS2
1046,Force is a product of,"[""[\""​A. distance and height of an object\"",\""B. mass and acceleration of an object\"",\""​C. length and breadth of an object\"",\""​D. mass and distance of an object\""]""]",B. mass and acceleration of an object,Basic Science,JSS2
1049,Force is a product of,"[""[\""​A. distance and height of an object\"",\""B. mass and acceleration of an object\"",\""​C. length and breadth of an object\"",\""​D. mass and distance of an object\""]""]",B. mass and acceleration of an object,Basic Science,JSS1
1054,The unit of force is,"[""[\""​A. Joules\"",\""B.newton \"",\""​C. watts\"",\""​D. meters\""]""]",​A. Joules,Basic Science,JSS1
1055,The unit of force is,"[""[\""​A. Joules\"",\""B.newton \"",\""​C. watts\"",\""​D. meters\""]""]",​A. Joules,Basic Science,JSS2
1071,The scientist that proposed the principles of gravity is,"[""[\""A. Moses.\"",\""​B. Isaac Newton​\"",\""C. Plato\"",\""D Aristotle\""]""]",​B. Isaac Newton​,Basic Science,JSS2
1072,The scientist that proposed the principles of gravity is,"[""[\""A. Moses.\"",\""​B. Isaac Newton​\"",\""C. Plato\"",\""D Aristotle\""]""]",​B. Isaac Newton​,Basic Science,JSS1
1088,Gravitational pull causes the following except,"[""[\""A. makes object to have weight.\"",\""B. causes object to fall back when thrown up.\"",\""C. causes objects to float in air.\"",\""​D. causes objects to feel heavy.\""]""]",C. causes objects to float in air.,Basic Science,JSS1
1091,Gravitational pull causes the following except,"[""[\""A. makes object to have weight.\"",\""B. causes object to fall back when thrown up.\"",\""C. causes objects to float in air.\"",\""​D. causes objects to feel heavy.\""]""]",C. causes objects to float in air.,Basic Science,JSS2
1101,The force of attraction which makes an object fall to the ground if not supported is,"[""[\""A. earth’s movement.\"",\""​​​B. earth’s attraction ​\"",\""C. earth’s gravitational attraction.\"",\""D. attraction of the masses.\""]""]",C. causes objects to float in air.,Basic Science,JSS2
1103,The force of attraction which makes an object fall to the ground if not supported is,"[""[\""A. earth’s movement.\"",\""​​​B. earth’s attraction ​\"",\""C. earth’s gravitational attraction.\"",\""D. attraction of the masses.\""]""]",C. causes objects to float in air.,Basic Science,JSS1
1110,​-------------------------is a state of not experiencing gravitational force,"[""[\""A.Force\"",\""B.Push and pull\"",\"" C.Power \"",\""D. Weightlessness \""]""]",D. Weightlessness,Basic Science,JSS1
1112,​-------------------------is a state of not experiencing gravitational force,"[""[\""A.Force\"",\""B.Push and pull\"",\"" C.Power \"",\""D. Weightlessness \""]""]",D. Weightlessness,Basic Science,JSS2
1114,​-------------------------is a state of not experiencing gravitational force,"[""[\""A.Asteroids \"",\""B.comets\"",\"" C.satelites\"",\""D. night \""]""]",D. Weightlessness,Basic Science,JSS1
1132,The earth has a great gravitational pull on objects because it,"[""[\""A. has a great mass. \"",\""B. is spherical.\"",\""C. is rotating.\"",\""D. can move.\""]""]",A. has a great mass.,Basic Science,JSS1
1133,The earth has a great gravitational pull on objects because it,"[""[\""A. has a great mass. \"",\""B. is spherical.\"",\""C. is rotating.\"",\""D. can move.\""]""]",A. has a great mass.,Basic Science,JSS2
1158,The natural dwelling place of an organism is known as ?,"[""[\"" (a)Adaptation \"",\""b)Habitat\"",\""c)Organisms\"",\""  (d)Arboreal\""]""]",b)Habitat,Basic Science,JSS3
1162,Which of these is not a major type of habitat?,"[""[\""   (a)Aquatic   \"",\""b)Arboreal  \"",\""c)Terrestrial \"",\""d)Marine  \""]""]",d)Marine,Basic Science,JSS3
1169,The features that help an organism to fit and survive in their habitat are called ?,"[""[\""   (a)Adaptation    \"",\""b)  structures\"",\""c) Habitat \"",\""d)Dwelling\""]""]",b)  structures,Basic Science,JSS3
1172,Which of the following organisms lives in an arboreal habitat?,"[""[\""   (a)Orangutan     \"",\""b)  Penguin \"",\""c) Lizard\"",\""d)Lion\""]""]",b)  structures,Basic Science,JSS3
1182,Webbed feet help which of these birds to swim in water?,"[""[\"" (a)Parrot \"",\""b)Duck\"",\""    (c)Weaverbird\"",\""d)Crocodile\""]""]",b)  structures,Basic Science,JSS3
1187,Human beings belong to a sub-group of mammals,"[""[\"" (a)Animal  \"",\""b)Mammalian \"",\""    (c)Primate \"",\""d)Reptile \""]""]",b)  structures,Basic Science,JSS3
1199,Human beings belong is different from other primates because,"[""[\""   a)He can stand upright \"",\""b)He has nails and not claws      \"",\""     c)He possesses largest and highly developed brain for thinking and speech  \"",\"" d)He has hair on every part of his body.\""]""]",c)He possesses largest and highly developed brain for thinking and speech,Basic Science,JSS3
1206,All the following are examples of primate except ____,"[""[\"" (a)Lemurs   \"",\""      b)Gorilla \"",\""    (c)Man   \"",\""d)Elephant\""]""]",d)Elephant,Basic Science,JSS3
1215,Growth is defined as _____,"[""[\""    (a)Increase in body   \"",\""     (b)Increase in field  \"",\""     c)Increase in height, size and weight \"",\""d)Increase in organ.\""]""]","c)Increase in height, size and weight",Basic Science,JSS3
1228,Development is defined as _____,"[""[\""  (a)Growth in different organisms    \"",\""    b)Increase in age \"",\""  (c)Development of muscles   \"",\"" (d)Advance change brought about as organism grows.\""]""]",(d)Advance change brought about as organism grows.,Basic Science,JSS3
1249,Growth is defined as ————,"[""[\""a)Increase in body   \"",\""b)Increase in field \"",\"" (c)Increase in height, size and weight \"",\""d)Increase in organ.\""]""]","(c)Increase in height, size and weight",Basic Science,JSS1
1265,The transition stage of development is ______,"[""[\""Baby – childhood – Adulthood   \"",\"" b)Childhood- Body –Adolescent –Adulthood \"",\""  (c)Baby –Adulthood – Childhood –Adolescent\"",\""d)Adulthood – Adolescent –Baby –Childhood.\""]""]",Baby – childhood – Adulthood,Basic Science,JSS1
1267,The transition stage of development is ______,"[""[\""Baby – childhood – Adulthood   \"",\"" b)Childhood- Body –Adolescent –Adulthood \"",\""  (c)Baby –Adulthood – Childhood –Adolescent\"",\""d)Adulthood – Adolescent –Baby –Childhood.\""]""]",Baby – childhood – Adulthood,Basic Science,JSS2
1268,The transition stage of development is ______,"[""[\""Baby – childhood – Adulthood   \"",\"" b)Childhood- Body –Adolescent –Adulthood \"",\""  (c)Baby –Adulthood – Childhood –Adolescent\"",\""d)Adulthood – Adolescent –Baby –Childhood.\""]""]",Baby – childhood – Adulthood,Basic Science,JSS3
1286,Changes in male characteristics is accompanied by the following except  _____,"[""[\""     (a)Deep voice  \"",\""   (b)Facial hair   \"",\""c)Growth of the breast \"",\""d)Ability to produce sperm.\""]""]",c)Growth of the breast,Basic Science,JSS3
1287,Changes in male characteristics is accompanied by the following except  _____,"[""[\""     (a)Deep voice  \"",\""   (b)Facial hair   \"",\""c)Growth of the breast \"",\""d)Ability to produce sperm.\""]""]",c)Growth of the breast,Basic Science,JSS1
1300,One of the following is a permanent change in man ____,"[""[\""(a)Fatness\"",\""  b)Growth of grey hair in later adulthood   \"",\"" c)Pimples \"",\""d)Enlargement of stomach.\""]""]",b)Growth of grey hair in later adulthood,Basic Science,JSS1
1302,One of the following is a permanent change in man ____,"[""[\""(a)Fatness\"",\""  b)Growth of grey hair in later adulthood   \"",\"" c)Pimples \"",\""d)Enlargement of stomach.\""]""]",b)Growth of grey hair in later adulthood,Basic Science,JSS3
1358,Most ___   depends on chemicals or product of chemicals as their raw material,"[""[\"" (a)Nam  (a)School \"",\""b)Bus  \"",\""    (c)Industries\"",\""d)Place.\""]""]",(c)Industries,Basic Science,JSS3
1359,Most ___   depends on chemicals or product of chemicals as their raw material,"[""[\"" (a)Nam  (a)School \"",\""b)Bus  \"",\""    (c)Industries\"",\""d)Place.\""]""]",(c)Industries,Basic Science,JSS2
1370,The full meaning of SHOC is ____,"[""[\""   (a)Safehandling of chemicals  \"",\""b)Sit handling of chemicals  \"",\""     (c)Start handling of chemicals  \"",\""(d)Stem handling of chemicals.\""]""]",(a)Safehandling of chemicals,Basic Science,JSS2
1372,The full meaning of SHOC is ____,"[""[\""   (a)Safehandling of chemicals  \"",\""b)Sit handling of chemicals  \"",\""     (c)Start handling of chemicals  \"",\""(d)Stem handling of chemicals.\""]""]",(a)Safehandling of chemicals,Basic Science,JSS3
1390,Toxic means _______,"[""[\""    (a)Poisonous\"",\""   (b)Sweety     \"",\""   (c)Substance  \"",\""  (d)Potent\""]""]",(a)Safehandling of chemicals,Basic Science,JSS3
1393,Toxic means _______,"[""[\""    (a)Poisonous\"",\""   (b)Sweety     \"",\""   (c)Substance  \"",\""  (d)Potent\""]""]",(a)Safehandling of chemicals,Basic Science,JSS2
1395,Toxic means _______,"[""[\""    (a)Poisonous\"",\""   (b)Sweety     \"",\""   (c)Substance  \"",\""  (d)Potent\""]""]",(a)Safehandling of chemicals,Basic Science,JSS1
1404,On air or tree environment is also known as _____,"[""[\""Airy habitat   \"",\""      b)Arboral habitat \"",\""      (c)Arboreal habitat   \"",\""  d)Jumping habitat\""]""]",b)Arboral habitat,Basic Science,JSS1
1405,On air or tree environment is also known as _____,"[""[\""Airy habitat   \"",\""      b)Arboral habitat \"",\""      (c)Arboreal habitat   \"",\""  d)Jumping habitat\""]""]",b)Arboral habitat,Basic Science,JSS2
1406,On air or tree environment is also known as _____,"[""[\""Airy habitat   \"",\""      b)Arboral habitat \"",\""      (c)Arboreal habitat   \"",\""  d)Jumping habitat\""]""]",b)Arboral habitat,Basic Science,JSS3
1415,"Terrestrial habitat can further be divided into  ____,_____ and _____","[""[\""a)Swamp, ocean and lagoon  \"",\""      (b)Desert, swamp, and seas  \"",\""c)Lakes, grassland and deserts   \"",\""d)Deserts, grassland and rain forest\""]""]","d)Deserts, grassland and rain forest",Basic Science,JSS3
1417,"Terrestrial habitat can further be divided into  ____,_____ and _____","[""[\""a)Swamp, ocean and lagoon  \"",\""      (b)Desert, swamp, and seas  \"",\""c)Lakes, grassland and deserts   \"",\""d)Deserts, grassland and rain forest\""]""]","d)Deserts, grassland and rain forest",Basic Science,JSS2
1436,"Octopus, fish and algaes are found in _____","[""[\""     (a)Freshwater  bodies  \"",\""  b)Rain forests \"",\""    (c)Marine habitats  \"",\""(d)Tree habitats.\""]""]",(a)Freshwater  bodies,Basic Science,JSS1
1437,"Octopus, fish and algaes are found in _____","[""[\""     (a)Freshwater  bodies  \"",\""  b)Rain forests \"",\""    (c)Marine habitats  \"",\""(d)Tree habitats.\""]""]",(a)Freshwater  bodies,Basic Science,JSS2
1439,"Octopus, fish and algaes are found in _____","[""[\""     (a)Freshwater  bodies  \"",\""  b)Rain forests \"",\""    (c)Marine habitats  \"",\""(d)Tree habitats.\""]""]",(a)Freshwater  bodies,Basic Science,JSS3
1449,Examples of terrestrial organisms include all of the following except,"[""[\""(a)Earthworm\"",\"" (b)Rats\"",\"" (c)Lobsters\"",\""d)Man .\""]""]",(c)Lobsters,Basic Science,JSS3
1452,Examples of terrestrial organisms include all of the following except,"[""[\""(a)Earthworm\"",\"" (b)Rats\"",\"" (c)Lobsters\"",\""d)Man .\""]""]",(c)Lobsters,Basic Science,JSS2
1462,Water environment is also _____,"[""[\""(a)Aquarium\"",\"" (b)Aqua  habitat  \"",\""c)Aquatic habitant \"",\"" (d)Liquid habitat\""]""]",(a)Aquarium,Basic Science,JSS1
1463,Water environment is also _____,"[""[\""(a)Aquarium\"",\"" (b)Aqua  habitat  \"",\""c)Aquatic habitant \"",\"" (d)Liquid habitat\""]""]",(a)Aquarium,Basic Science,JSS2
1464,Water environment is also _____,"[""[\""(a)Aquarium\"",\"" (b)Aqua  habitat  \"",\""c)Aquatic habitant \"",\"" (d)Liquid habitat\""]""]",(a)Aquarium,Basic Science,JSS3
1488,Which of the following is a carbohydrate?,"[""[\""(a) Mango\"",\""(b) Meat\"",\""(c) Okro \"",\""(d)Rice\""]""]",(d)Rice,Basic Science,JSS3
1490,​A way of reducing friction in the moving parts of a machine is by applying,"[""[\""(a) bitumen \"",\""(b) diesel\"",\""(c) grease\"",\""(d)kerosine \""]""]",(c) grease,Basic Science,JSS3
1499,​The following are advantages of friction except that it,"[""[\""(a)  enables a car to come to rest. \"",\""(b) enables sharpening of tools.  \"",\""(c) makes an object move on belt drives. \"",\""(d) produces heat in the moving machine parts.\""]""]",(b) enables sharpening of tools.,Basic Science,JSS3
1510,A/an __ experiences weightlessness.,"[""[\""(a)  astronaut in a space craft. \"",\""(b)  doctor in a hospital.\"",\""(c) engineer in his workshop.\"",\""(d) pilot in a plane. \""]""]",(a)  astronaut in a space craft.,Basic Science,JSS3
1514,The following are components of the solar system except,"[""[\""(a)  Asteroids\"",\""(b)  comets\"",\""(c) satellite \"",\""(d) night\""]""]",(d) night,Basic Science,JSS3
1515,​-------------------------is a state of not experiencing gravitational force,"[""[\""(a)  Force\"",\""(b)  push and pull\"",\""(c) power \"",\""(d) weightlessness\""]""]",(d) night,Basic Science,JSS3
1521,​The following form the inner solar system except,"[""[\""(a)  Mercury \"",\""(b) Venus\"",\""(c) Saturn\"",\""(d) Mars\""]""]",(c) Saturn,Basic Science,JSS3
1526,Gravitational pull causes the following except,"[""[\""(a) makes object to have weight.\"",\""(b) causes object to fall back when thrown up.\"",\""(c) causes objects to float in air.\"",\""(d) causes objects to feel heavy.\""]""]",(c) causes objects to float in air.,Basic Science,JSS3
1536,The earth has a great gravitational pull on objects because it,"[""[\""(a) has a great mass\"",\""(b) is spherical \"",\""(c) is rotating \"",\""(d) can move\""]""]",(a) has a great mass,Basic Science,JSS3
1540,The scientist that proposed the principles of gravity is,"[""[\""(a) Moses\"",\""(b)  Isaac Newton \"",\""(c)  Plato\"",\""(d) Aristotle\""]""]",(b)  Isaac Newton,Basic Science,JSS3
1542,The unit of force is,"[""[\""(a) joules\"",\""(b)  newton \"",\""(c)  watts\"",\""(d) meters\""]""]",(a) joules,Basic Science,JSS3
1547,Force is a product of,"[""[\""(a) distance and height of an object​\"",\""(b)   mass and acceleration of an object\"",\""(c)  length and breadth of an object\"",\""(d) mass and distance of an object\""]""]",(b)   mass and acceleration of an object,Basic Science,JSS3
1550,What type of energy does the sun give out?,"[""[\""(a) ​solar energy \"",\""(b)  radiant energy \"",\""(c)  kinetic energy \"",\""(d)potential energy \""]""]",(a) ​solar energy,Basic Science,JSS3
1554,Heat energy can be used for the following except,"[""[\""(a) generate heat for steam engines  \"",\""(b) generate heat for cooking \"",\""(c) prevention of germs on some consumable items \"",\""(d) vision in the dark\""]""]",(d) vision in the dark,Basic Science,JSS3
1559,The energy a body possess by the virtue of its motion is,"[""[\""(a)  heat energy\"",\""(b)  light energy \"",\""(c)  kinetic energy \"",\""(d)potential energy \""]""]",(c)  kinetic energy,Basic Science,JSS3
1561,The ability to do work is,"[""[\""(a)  tension \"",\""(b)  weight\"",\""(c)    newton \"",\""(d)energy \""]""]",(d)energy,Basic Science,JSS3
1563,The following forms part of the nine planets except,"[""[\""(a) Neptune \"",\""(b) venus\"",\""(c) plato \"",\""(d) jupiter \""]""]",(c) plato,Basic Science,JSS3
2543,Webbed feet help which of these birds to swim in water?,"[""[\""A. Parrot\"",\""B. Duck\"",\""C.Weaverbird\"",\""D. Crocodile \""]""]",B. Duck,Basic Science,JSS2
