Order,Question,A,B,C,D,answer
62,If a customer pays within nine days of receiving goods and takes advantage of 3% off the invoice price, this is stated as ,3/9; net 3. ,9/27; net 30,30; net 9/3,9/30; net 3.,D
63,Calculate the current assets.,15,000,20,000,30,000,45,000,A
64,The abbreviation C &amp; F indicates that the,production cost excludes the cost of carriage,selling price includes the cost of carriage,cost of production includes delivery charges,cost price includes the cost of carriage.,B
65,The main objective of a trade association is to ,protect is members against litigation ,boost the trade of its members ,secure credit for its members ,protect its members against victimization ,D
66,Consumerism aims at protecting the consumer from,harmful products  ,drug addiction,smoking cigarettes ,alcohol consumption. ,A
67,Goods are  of merchantable  quality if they,conform to description  ,are of equal weight,are of the same quality ,conform to buyers' purpose,A
68,The creation of utilities to satisfy human wants is referred to as   ,production  ,consumption,industrialization    ,occupation.,A
69,A pro-forma invoice is sent to inform a buyer about the,quantity of goods,prices of goods,designation of goods,quality of goods.,C
70,An agreement between two parties which will give rise to enforceable rights and obligation is known as,a warrant,a contract,a consideration,an offer,B
71,One of the major functions of a chamber of commerce is to,promote and protect trade, industry and agriculture,advise members on regulations of other countries,settle disputes that arise out of trade,publish books and periodicals desired by members.,A
72,The process of eliminating a virus from a computer program is ,programming ,debugging ,formatting ,looping,C
73,The process of eliminating a virus from a computer program is ,programming ,debugging ,formatting ,looping,C
74,The final link in the chain of distribution is the,agent,consumer,manufacturer,retailer,B
75,One of the major functions of a chamber of commerce is to,promote and protect trade, industry and agriculture,advise members on regulations of other countries,settle disputes that arise out of trade,publish books and periodicals desired by members.,A
76,The main difference between nationalization and indigenization is in terms of,shareholding,profit,technology,efficiency.,B
77,An agreement between two parties which will give rise to enforceable rights and obligation is known as,a warrant,a contract,a consideration,an offer,B
78,A predominant mark-up language for web pages is ,IP,HTTP,HTML,TCP,C
79,One of the major functions of a chamber of commerce is to,promote and protect trade, industry and agriculture,advise members on regulations of other countries,settle disputes that arise out of trade,publish books and periodicals desired by members.,A
80,Platinum Habib Bank Plc. is an example of __ bank.,central,commercial,development,merchant,B
81,Entrepot Trade refers to,importing for domestic consumption,importing for industrial use,importing for government concerns,importing for re-export,D
82,Which of the following is a form of sales promotion?,Promotion through radio,Advertising by television,Distributing printed sales literature,Offering free samples to customers,D
83,An arrangement by independent firms to share the market of their products on quota basis is referred to as  ,trust ,integration ,syndicate ,cartel,D
84,Which of the following is a means of payment through the post office?,Standing Order,Promissory note,Money order,Telegraphic transfer,C
85,The mode of transporting crude oil to the ports for export purposes is by,tanker,rail,road,pipeline.,D
86,A source of short-term finance to companies is,share capital,debentures,retained earnings,corporate tax,C
87,The abbreviation C &amp; F indicates that the,production cost excludes the cost of carriage,selling price includes the cost of carriage,cost of production includes delivery charges,cost price includes the cost of carriage.,B
88,The major problem confronting Cyber Café operators is ,Advanced fee fraud by clientele ,poor network coverage ,high operating costs ,copyright violations by clients,C
89,A shop which consists of many stores trading under a single roof and which stocks varieties of gods with each unit having its own head is a ,multiple shop  ,supermarket ,superstore,departmental store.,D
90,Commercialization of government corporations brings about an increase in the level of,money supply in the economy,distrust among business operators,competition among business operators,social responsibility,C
91,The limit of functions, activities and personnel that a supervisor can effectively manage  in a business organization  is  ,spun of control , delegation of authority ,chain of command , authority and responsibility,A
92,Which of the following is not a means of payment in foreign trade?,Telegraphic money order,Specially crossed cheque,Letters of credit,Debit transfer,B
93,The first known legislation to protect consumer rights in Nigeria is the,Usury Laws,Hire Purchase Act,Sale of Goods Act,Food and Drugs Act.,C
94,The association that comprises all types of businesses is referred to as, chamber of commerce   , trust,trade association   , cartel.,A
95,Given: I. shoe marker    II. Policeman     III. Fisherman    IV. Gardener    V. Broker .    The persons engaged in primary occupation are 
,I, III and IV ,III and IV,III and V,I , II and V,B
96,The manufactures’ Association of Nigeria is an example of a ,labour union ,pressure group ,conglomerate ,cartel,B
97,The major achievement of ECOWAS is,the expansion of regional trade,the emergence of a monetary union,infrastructure! development in member countries,mobility of labour among member countries.,A
98,An agent employed to sell goods delivered to him by the principal is referred to as a ,Special agent ,del credere agent ,factor ,universal agent,B
99,Which of these is NOT a source of capital to First Bank of Nigeria Plc?,Equipment leasing,Lean from friends,Profit plough back,Sales of shares,B
100,One of the obstacles  to achieving the objectives of ECOWAS is,lack of a common currency,colonial linkages,sovereignty of states,language differences.,D
