Order,Question,A,B,C,D,answer
29,Inadequate or lack of intake of the protein class of food leads to___,Anaemia     ,Sickle Cell,marasmus,kwashiorkor,D
30,What is the full meaning of FIFA?,Federation of international football Association   ,Federation of international footwear Association   ,Footwear of international federation Association   ,None of the above,F
31,__________ is a source of protein,Yam,Rice,Garri,Beans,D
32,Pentathlon is a track and event which consists of___ events,5   ,3,12,7,F
33,Which of these lower stress and depression,Recreation and dance   ,Footballing     ,Boxing,Fighting,A
34,_______ is not an example of classes of food,fats and oil   ,protein,water,rice,F
35,The rhythmic movement of the human body in space and time to make statements is called,Climbing ,Dancing    ,Relaxing ,Singing,F
36,The following are safety precautions while performing exercises except,Start slowly and progress gradually,Wear appropriate clothing and shoe  ,Exercise vigorously immediately after eating   ,Stop exercising  immediately you start feeling pains  dizzy  irregular heartbeat,A
37,The following factors influences physical fitness EXCEPT___,age   ,duration of exercise      ,diet and nutrition   ,white hair,D
38,The Nigeria lawn tennis Association was formed in which year?,1950,1960,1955,1965,D
39,There are ___________ classes of food,One,two,six,four,C
40,The treatment given to a victim of an accident  sudden injury is called,past aid treatment   ,first aid treatment,operation treatment   ,last aid treatment,B
41,Another name for K-leg is known as____,knock leg,cross leg,X-leg,,A
42,A disease caused by severe deficiency in protein is known as,cancer,obesity,kwashiorkor,sickle cell ,F
43,Which of these is not a career in physical education?,  coaching   ,teaching   , sport physiologist , community development ,D
44,All of these are found in the first aid box?,methylated spirit   ,hydrogen peroxide   ,plaster,head helmets,D
45,Domestic accident is usually associated _____,At home,Road,School,Factories,A
46,Postural defect could be gradually gotten rid off by___,regular exercise   ,gymnastics   ,group exercise   ,,F
47,Which of these lower stress and depression,Recreation and dance   ,Footballing     ,Boxing,Fighting,A
48,For a person to look good  and fit  the person must perform,Regular exercises,Study hard  ,Jump the fence   ,Make noise in class  ,F
49,All are good examples of non-contact sports EXCEPT one,Table tennis,tennis,swimming,basketball,D
50,Bata dance is a type of dance associated with the people of____,Yoruba,Hausa,Igbo,Tiv,A
51,The following are safety precautions while performing exercises except,Start slowly and progress gradually,Wear appropriate clothing and shoe  ,Exercise vigorously immediately after eating   ,Stop exercising  immediately you start feeling pains  dizzy  irregular heartbeat,A
52,All of these are examples of indoor recreational activities except,Watching television,Playing football     ,Dancing    ,Playing game      ,F
53,Domestic accident is usually associated _____,At home,Road,School,Factories,A
54,The following are various types of computer games EXCEPT___,Football game,Volleyball game,basketball ,wife battering game ,F
55,All of these are examples of indoor recreational activities except,Watching television,Playing football     ,Dancing    ,Playing game      ,F
56,The officials of tennis include,Fan,Coach,Umpire,referee,C
57,Diseases that cannot be transmitted from one person to another is known as,communicable disease ,inherited disease,non-communicable disease,,C
58,One of these is NOT allowed in Soccer game?,kicking your opponent     ,scoring goal     ,heading the ball ,trapping the ball,F
59,One of the benefits of recreation and dance are as follows except,Improves quality of life  ,Learn more through social interaction   ,Creates room for enjoyment   ,Fighting everyone,D
60,The following are officials in tennis EXCEPT one,high court judge   ,an umpire   ,two supporting lines men   ,time recorder,F
61,The following are types of non-communicable disease except,measles ,Cancer    ,Malaria,asthma,F
62,One of these is not an injury in sports,dislocation  ,fractures ,wound,mosquito bite,F
63,The following are officials in tennis EXCEPT one,high court judge   ,an umpire   ,two supporting lines men   ,time recorder,F
64,The world soccer governing body is___,CAF,FIFA,NSSF,UEFA,B
65,Leisure means____,free time   ,Working time,Reading time,Marching time,D
66,One of these is NOT a basic skill in swimming,breast stroke   ,butterfly stroke   ,back stroke,dead drop,F
67,The following are the health implication of human trafficking on the victims EXCEPT___,suffer physical abuse,suffer from malnutrition   ,sexual abuse on victims   ,they enjoy being kidnapped,D
68,The following are the solutions to human trafficking EXCEPT____,arresting offenders   ,encouraging human trafficking,enacting laws against human trafficking   ,,B
69,One of these is are a kind of posture  except,akimbo posture,forward head posture,Standing posture,swayback posure,C
70,All EXCEPT one is NOT a common fault in tennis game,service fault    ,foot fault   ,a let   ,kicking,D
71,All of these are example of water sports EXCEPT one,Yatching,golf,sailing,swimming,B
72,The method of abducting  kidnapping  physical force and false promises is known as___,human trafficking   ,goat trafficking   ,recreational trafficking     ,none of the above,F
73,Which of these is not the function of an umpire in tennis,starts off the game   ,confirm the winners or losers   ,. he assigns the linesmen   ,he coach the contestant,D
74,One of these is NOT allowed in Soccer game?,kicking your opponent     ,scoring goal     ,heading the ball ,trapping the ball,F
75,Camping  fishing  mountaineering are example of,Indoor recreational activities ,Outdoor recreational activities,None of the above     ,All of the above,B
76,Postural defects are caused by the following effect EXCEPT___,tight wears   ,poor sleeping position   ,lack of exercise,singing,D
77,Puberty in girl is generalized by the following EXCEPT one,breast development   ,monthly menstrual cycle   ,auxiliary hair (armpit)   ,deepening voice,D
78,Camping  fishing  mountaineering are example of,Indoor recreational activities ,Outdoor recreational activities,None of the above     ,All of the above,B
79,Postural defects would be gradually gotten rid off by_____,regular exercise   ,regular running   ,group exercise     ,,F
80,The red cross inscribed on the front of the first aid box is the symbol of___,road warders       ,medical society ,red cross society,police force,F
81,Good and drinkable water must be all EXCEPT___,Odourless       ,Tasteless   ,Colourless,full of organisms,F
82,Puberty in boys is generalized by all of the following EXCEPT___,breast development   ,. muscular development   ,pubic hair,deepening voice,A
83,Drinking polluted water can cause water borne disease such as,cholera ,asthma ,obesity ,cancer ,F
84,The red cross inscribed on the front of the first aid box is the symbol of___,road warders       ,medical society ,red cross society,police force,F
85,One of these is not an injury in sports,dislocation  ,fractures ,wound,mosquito bite,F
86,The following are safety precautions while performing exercises except,Start slowly and progress gradually,Wear appropriate clothing and shoe  ,Exercise vigorously immediately after eating   ,Stop exercising  immediately you start feeling pains  dizzy  irregular heartbeat,A
87,All of these are the benefits of athletics except,Develop skills    ,Aids competition ,Promote fighting,Creates avenue for socializing    ,C
88,___ is regarded as harmful use of drugs,drug abuse    ,drug addiction,drug abuser,drug dependence,A
89,All EXCEPT one is NOT a common fault in tennis game,service fault    ,foot fault   ,a let   ,kicking,D
90,Dislocation usually occurs in which part of the body?,Joints,Muscles,Brain,Abdomen,A
91,All these are apparatus used in gymnastic EXCEPT___,parallel bar   ,horizontal bar   ,balance beam   ,hurdle,D
92,Taekwondo game or sport was originated from which of these countries,Japan,Korea,Nigeria,USA,A
93,One of these is not in the categories of accident,domestic accidents   ,occupational accidents   ,school accidents   ,fence accidents,D
94,Sport injury include the following EXCEPT,Bleeding,Obesity,Sprain,dislocation,B
95,Which of these is not a field event?,Hurdles,Discuss,Hammer,Javelin,C
96,Athletics is a game made up of ____ and ____ event,Biro and paper,Racket and gloves   ,Ball and socks   ,Tracks and field,D
97,One of the benefits of recreation and dance are as follows except,Improves quality of life  ,Learn more through social interaction   ,Creates room for enjoyment   ,Fighting everyone,D
98,Camping  fishing  mountaineering are example of,Indoor recreational activities ,Outdoor recreational activities,None of the above     ,All of the above,B
99,The shortest line shown on the tennis court is called____,double sideline     ,single line   ,centre mark   ,service line,F
100,The treatment given to a victim of an accident  sudden injury is called,past aid treatment   ,first aid treatment,operation treatment   ,last aid treatment,B
