Order,Question,A,B,C,D,answer
47,When the price of egg was raised by N2 an egg  the number of eggs which can be bought for N 120 is reduced by 5. The present price of an egg is ,N 6. ,N 7  ,N 8,N10,C
48,With replacement ,0.9 ,1  ,0.4 ,0.49,D
49,The difference of two numbers is 10  while their product is 39. Find these numbers,– 3 and 10 or 13 and 10 ,3 and – 10 or 3 and 13   ,3 and – 3 or 3 and 13      , – 3 and – 13 or   13 and  3 ,D
50,A regular polygon has each of it angles as 1600. What is the number of sides of the polygon?  ,18     ,36        ,9      ,20,A
51,Z is partly constant and partly varies inversely as the square of d. when d = 1  z = 11 and when d = 2  z = 5. Find the value of z when d = 4.  ,2,3.5,5,5.5,B
52,With replacement ,0.9 ,1  ,0.4 ,0.49,D
53,A girl walks 30m from a point P on  a bearing of 040 to a point Q. she   then walks 30m on a bearing of 140 to a point R. the bearing of R from P is ,90,50 ,45,40,A
54,Find the probability that a number selected at random 40 to 50 is a prime number   ,3/11,5/11,5/10,4/10,A
55,The expression a 3 + b 3 is equal  to ,(a2 +b)(a-ab+b2 ),(a+b)(a2 –ab+b2 )  ,(a-b2)(a2-  ab+b),(a­-b)(a2+ab+b2),B
56,A bearing of 310o  expressed as a compass bearing is: ,N50oW  ,N40oW  ,S40oW  ,S50oW,A
57,The expression a 3 + b 3 is equal  to ,(a2 +b)(a-ab+b2 ),(a+b)(a2 –ab+b2 )  ,(a-b2)(a2-  ab+b),(a­-b)(a2+ab+b2),B
58,How many different three digit numbers can be formed using the integers 1 to 6 if no integer 1 to 6 if no integer occurs twice in a number? ,720,1260,2520,5040,B
59,If 7 and 189 are the first and fourth terms of a geometric progression respectively find the sum of the first three terms of the progression ,182,180,91,63,C
60,Two fair dice are rolled. What is the probability that both show up the same number of point?,1/36 ,7/36 ,½ ,1/6,D
61,The volume of a certain sphere is numerically equal to twice its surface area. The diameter of the sphere is: ,6,9,12,,C
62,All the 120 pupils in a school learn Yoruba or Igbo or both. Given that 75 learn Yoruba and 60 learn Igbo. How many learn Igbo only?   ,45,30,15,60,A
63,The volume of a certain sphere is numerically equal to twice its surface area. The diameter of the sphere is: ,6,9,12,,C
64,Solve the equation 3x+1 = 271-x  ,1/2,-1/2,3/4,-3/4,A
65,If  are the roots of equation 6 +5x –x2 =0  find  x,11,-11,1,-1,B
66,Find the probability of selecting a figure which is parallelogram from a square  a rectangle  a rhombus  a kite and a trapezium  ,3/5 ,2/5 ,1/5 ,1/5 ,A
67,Solve the equation 3x+1 = 271-x  ,1/2,-1/2,3/4,-3/4,A
68,Given f(x) =3+x and g(x) =3-x  find g (f(x)),6,x,-x,0,B
69,A business invested a total of N200 000 in two companies which paid dividends of 5% and 7% respectively. If the received a total of N11  600 as dividend  how much did he invest at 5% ,N160 000 ,N140 000 ,N120 000 ,N80 000,C
70,Factorize 16(3x+2y)2-25 (a+2b)2,(12x +8y+5a+10b)(12x+8y-5a-10b)    ,(12x+8y-5a-10b) (12x+8y-5a-10b)     ,20 (3x +2y-a-2b)(3x+2y+a+2b)  ,20(3x+2y+a+2b) (3x+2y+a+2b).,A
71,A man kept 6 black  5 brown and 7 purple shirts in a drawer. What is the probability of his picking a purple shirt with his eyes close ,1/7,7/18 ,11/18 ,7/11,B
72,Z is partly constant and partly varies inversely as the square of d. when d = 1  z = 11 and when d = 2  z = 5. Find the value of z when d = 4.  ,2,3.5,5,5.5,B
73,A regular polygon has each of it angles as 1600. What is the number of sides of the polygon?  ,18     ,36        ,9      ,20,A
74,A girl walks 30m from a point P on  a bearing of 040 to a point Q. she   then walks 30m on a bearing of 140 to a point R. the bearing of R from P is ,90,50 ,45,40,A
75,The average age of x pupils in a class is 14 years 2 months. A pupils of 15years 2 months joins the class and  the average age is increased  by one month. Find x.      ,12  , 6  ,11 ,14 ,C
76,Find the probability that a number selected at random 40 to 50 is a prime number   ,3/11,5/11,5/10,4/10,A
77,A sum of money was invested at 8% per annum simple interest. If after 4 years  the   money became ,N180 ,N 165 ,N15   ,N 200,D
78,Two fair dice are rolled. What is the probability that both show up the same number of point?,1/36 ,7/36 ,½ ,1/6,D
79,If x= 0.0012 + 0.00074 + 0.003174  what is the difference between x to 2 decimal places and x to 1 significant figure? ,0.01,0.0051,0.1,0.005,D
80,Solve 4x2 +20x -24 =0, 1  6, -1  -6,6  -1,-6  1,D
81,A bag contains 10 balls of which 3 are red and 7 are white. Two balls are drawn at random. Find the probability of none of the balls is red  if the draw is with replacement: ,0.9,1,0.47,0.49,D
82,A sum of money was invested at 8% per annum simple interest. If after 4 years  the   money became ,N180 ,N 165 ,N15   ,N 200,D
83,An (n-2)2 sided figure has n diagonal  find the number n of diagonal for a 25 sided Figure   ,8,7,6,10,B
84,Solve 4x2 +20x -24 =0, 1  6, -1  -6,6  -1,-6  1,D
85,A regular polygon has each of it angles as 1600. What is the number of sides of the polygon?  ,18     ,36        ,9      ,20,A
86,If  are the roots of equation 6 +5x –x2 =0  find  x,11,-11,1,-1,B
87,Two fair dice are rolled. What is the probability that both show up the same number of point?,1/36 ,7/36 ,½ ,1/6,D
88,How many different three digit numbers can be formed using the integers 1 to 6 if no integer 1 to 6 if no integer occurs twice in a number? ,720,1260,2520,5040,B
89,The journey from Lagos to Ibadan usually takes a motorist 1 hour 30 minutes. By increasing his average speed by 20km/hr  the motorist saves 15 minutes. His usual speed  in Km/hr is ,100,90,85,80,A
90,With replacement ,0.9 ,1  ,0.4 ,0.49,D
91,Find the positive number n such that thrice its square is equal to twelve time the number ,1,4,2,5,B
92,A girl walks 30m from a point P on  a bearing of 040 to a point Q. she   then walks 30m on a bearing of 140 to a point R. the bearing of R from P is ,90,50 ,45,40,A
93,When the price of egg was raised by N2 an egg  the number of eggs which can be bought for N 120 is reduced by 5. The present price of an egg is ,N 6. ,N 7  ,N 8,N10,C
94,The value of (0.303)3 – (0.02)3 is ,0.019,0.0019,0.0268,0.000019,C
95,The expression ax2 + bx takes the value 6 when x = 1 and 10 when x = 2. Find its value when  x = 5       ,10,12,6,.-10,A
96,Solve 4x2 +20x -24 =0, 1  6, -1  -6,6  -1,-6  1,D
97,The journey from Lagos to Ibadan usually takes a motorist 1 hour 30 minutes. By increasing his average speed by 20km/hr  the motorist saves 15 minutes. His usual speed  in Km/hr is ,100,90,85,80,A
98,A bag contains 10 balls of which 3 are red and 7 are white. Two balls are drawn at random. Find the probability of none of the balls is red  if the draw is with replacement: ,0.9,1,0.47,0.49,D
99,Given a regular hexagon  calculate each interior angle of the hexagon ,60,30,120,15,C
100,In a survey of 100 students in an institution  80 students speak Yoruba  22 speak Igbo  while 6 speak neither Igbo nor Yoruba. How many students speak Yoruba and Igbo? ,96,8,64,12,B
